Platform Player Name;Video File(s) in ESN TV/ESN/Videos;Count;Current club;;Dropbox link 
Adam Taggart;Adam Taggart.mp4;1;Perth Glory;;https://www.dropbox.com/scl/fi/e1p2xmd51it3olgy9eua5/Adam-Taggart.mp4?rlkey=v3hffxt1v0gv798g9mug5ws91&raw=1
Agustín Urzi;Agustín Urzi.mp4;1;Levadiakos;;https://www.dropbox.com/scl/fi/b4ftgdyq3ov53k8yjjys8/Agust-n-Urzi.mp4?rlkey=kx4dw0j8is4v5zbfe3ln8upqz&raw=1
Alex Luna;Alex Luna.mp4;1;Instituto Córdoba;;https://www.dropbox.com/scl/fi/8wdyhufyx22dq207vegi9/Alex-Luna.mp4?rlkey=6l2o8r0ks0qmgvydlkw7f0yj6&raw=1
Alexandre Jankewitz;Alexandre Jankewitz.mp4;1;Winterthur;;https://www.dropbox.com/scl/fi/4fnwbtb2i5a085hclh5ox/Alexandre-Jankewitz.mp4?rlkey=aevz06g28pj5e9xp6pz8aofrb&raw=1
Alexis Antunes;Alexis Antunes.mp4;;Göztepe;;https://www.dropbox.com/scl/fi/c2r5egdurgw1tstby8pzz/Alexis-Antunes.mp4?rlkey=zji1pfwphk2h9qc19ujcbuzn5&raw=1
Ali Kabacalman;Ali Kabacalman.mp4;1;FC Sion;;https://www.dropbox.com/scl/fi/qs4dk4y1lirt6fhchvn9s/Ali-Kabacalman.mp4?rlkey=mkspkexe7evnkqhqxyy1kupne&raw=1
Anthony Baron;Anthony Baron.mp4;1;Yverdon Sport;;https://www.dropbox.com/scl/fi/9hw08hmaxkw2kyfoex1k5/Anthony-Baron.mp4?rlkey=lv3r45lzimpediuf42e80fqah&raw=1
Aodhan Quinn;Aodhan Quinn.mp4;1;Indy Eleven;;https://www.dropbox.com/scl/fi/jk880i8w8e0mttkub5cdg/Aodhan-Quinn.mp4?rlkey=oftn1u9whzsxlnvo7qbb7ni1x&raw=1
Bilal Nadir;Bilal Nadir.mp4;1;Marseille;;https://www.dropbox.com/scl/fi/u3h0ynm852yfs31pf8mjm/Bilal-Nadir.mp4?rlkey=jde0fqdkkpkmla4ij9rjsjpi6&raw=1
Brighton Labeau;Brighton Labeau.mp4;1;FC Thun;;https://www.dropbox.com/scl/fi/qse13187adexsqtln9g4j/Brighton-Labeau.mp4?rlkey=1hji73j2qp40beou0wgkl9xk9&raw=1
Cedric Hatenboer;Cedric Hatenboer II.mp4;;RSC Anderlecht;;https://www.dropbox.com/scl/fi/lg26xd2woaosmchhoys40/Cedric-Hatenboer-III.mp4?rlkey=h51iarg4whbspxb6kgutslg0m&raw=1
